"Key","Source","Context","Changes","English","French","German","Klingon","Spanish"
"challenge_dogdaysareover_offer","","Challenge Info","KgNone","ПОЗДРАВЛЯЮ, НОВОБРАНЕЦ, ЭТА ЗАПИСКА - ПЕРСОНАЛЬНОЕ ПРИГЛАШЕНИЕ НА ВСТУПЛЕНИЕ В НАШ КЛАН. МЫ ДАВНО СЛЕДИМ ЗА ТОБОЙ И ВИДИМ ПОТЕНЦИАЛ. СДЕЛАЙ ЭТУ РАБОТЁНКУ, И МЫ ПОДУМАЕМ О ТВОЁМ ПРИСОЕДИНЕНИИ К НАМ. ДАВАЙ ПОСМОТРИМ, ДОСТАТОЧНО ЛИ ТЫ КРЕПОК, ЧТОБЫ УБИТЬ ",,,,
"challenge_dogdaysareover_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-СОБАК",,,,
"challenge_dontfeedthebears","","Challenge Info","KgNone","НЕ КОРМИТЕ МЕДВЕДЕЙ",,,,
"challenge_dontfeedthebears_offer","","Challenge Info","EnChanged KgNone","ПРИВЕТ, ДРУГ, ЕСЛИ У ТЕБЯ НЕ ДЕРЬМО ВМЕСТО МОЗГОВ, ТО ДОЛЖЕН ЗНАТЬ, ЧТО МЫ ДАВНО СЛЕДИМ ЗА ТОБОЙ. ТЕПЕРЬ, КОГДА МЫ ПОШУТИЛИ, ПОЗВОЛЬ МНЕ ОБЪЯСНИТЬ ТЕБЕ СУТЬ ДЕЛА. МЫ ХОТИМ, ЧТОБЫ ТЫ ПРИСОЕДИНИЛСЯ К СКОЛЬЗКИМ, НО СНАЧАЛА ТЕБЕ НУЖНО ПРОЙТИ ЭТО ПОСВЯЩЕНИЕ",,,,
"challenge_dontfeedthebears_subtitle","","Challenge Info","KgNone","УБИТЬ МЕДВЕДЕЙ",,,,
"challenge_drunkanddisorderly","","Challenge Info","KgNone","ПЬЯНЫЙ ДЕБОШ",,,,
"challenge_drunkanddisorderly_offer","","Challenge Info","KgNone","СЛУШАЙ, БРОДЯГА, ЕСЛИ У ТЕБЯ ЭТА ЗАПИСКА, ТО ЗНАЙ, МЫ НАБЛЮДАЕМ ЗА ТОБОЙ. ТЫ ОЧЕНЬ ХИТЁР, НО ДАВАЙ ПОСМОТРИМ, СМОЖЕШЬ ЛИ ТЫ ВЫПОЛНИТЬ ЭТО ЗАДАНИЕ, И, ВОЗМОЖНО, ТЫ СМОЖЕШЬ ПРИСОЕДИНИТЬСЯ К НАШЕЙ МАЛЕНЬКОЙ КОМАНДЕ ВЕСЁЛЫХ ВЫЖИВШИХ. БЕЗУМИЕ - ЭТО МОЁ ВТО",,,,
"challenge_drunkanddisorderly_subtitle","","Challenge Info","KgNone","ПЬЯНЫМ УБИТЬ ЗОМБИ КУЛАКАМИ",,,,
"challenge_imalumberjackandimokay","","Challenge Info","KgNone","Я ЛЕСОРУБ И МНЕ ХОРОШО",,,,
"challenge_imalumberjackandimokay_offer","","Challenge Info","KgNone","ЭЙ, НЕДОНОСОК, МЫ СЛЕДИМ ЗА ТОБОЙ И ЗНАЕМ, КТО ТЫ. МНЕ КАЖЕТСЯ, ЧТО ТЫ МОЖЕШЬ ХОРОШО ПОЗАБОТИТЬСЯ О СЕБЕ, НО ДАВАЙ ПОСМОТРИМ, СМОЖЕШЬ ЛИ ТЫ СПРАВИТЬСЯ С ЭТИМ ИСПЫТАНИЕМ. СДЕЛАЙ ЭТО, И МЫ, ВОЗМОЖНО, ПРИГЛАСИМ ТЕБЯ В НАШ ЧАСТНЫЙ КЛУБ. ТЕБЕ ЛУЧШЕ ОДЕТЬСЯ ",,,,
"challenge_imalumberjackandimokay_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО СНЕЖНЫХ ЗОМБИ",,,,
"challenge_itsybitsyspider","","Challenge Info","KgNone","ИТСИ-ПАУЧЁК",,,,
"challenge_itsybitsyspider_offer","","Challenge Info","KgNone","ЭЙ, БОЛВАН, ЕСЛИ ТЫ ЧИТАЕШЬ ЭТУ ЗАПИСКУ, ТО ДОЛЖЕН ПОНЯТЬ, КАК НЕ УДИВИТЕЛЬНО, ЧТО МЫ ОЦЕНИЛИ ТЕБЯ. У МЕНЯ ДЕЛЬЦЕ ДЛЯ ПРОСТАКОВ, КАК ТЫ. СДЕЛАЙ ЭТО, И ВОЗМОЖНО, МЫ ПРИМЕМ ТЕБЯ. БЕЗУМНЕЕ, ЧЕМ КОГДА-ЛИБО... ДЖЕЙК ИСПЫТАНИЕ: УБИТЬ НЕСКОЛЬКО ЗОМБИ-ПАУК",,,,
"challenge_itsybitsyspider_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-ПАУКОВ",,,,
"challenge_killthewabbit","","Challenge Info","KgNone","УБИТЬ КВОЛИКА",,,,
"challenge_killthewabbit_offer","","Challenge Info","EnChanged KgNone","ПРИВЕТ, ВЫЖИВШИЙ, ЕСЛИ ТЫ ПОДНЯЛ ЭТУ ЗАПИСКУ, ТО ЗНАЙ, МЫ НАБЛЮДАЕМ ЗА ТОБОЙ. ТЫ ОБЛАДАЕШЬ НАВЫКАМИ ВЫЖИВАНИЯ, НО ДАВАЙ ПОСМОТРИМ, СМОЖЕШЬ ЛИ ТЫ СПРАВИТЬСЯ С ЭТИМ ИСПЫТАНИЕМ, И МЫ, ВОЗМОЖНО, ПОЗВОЛИМ ТЕБЕ ПРИСОЕДИНИТЬСЯ К НАМ.УДАЧИ, СКОЛЬЗКИЙ ВИЛЛИ",,,,
"challenge_killthewabbit_subtitle","","Challenge Info","KgNone","УБИТЬ КРОЛИКОВ С ДРОБОВИКА",,,,
"challenge_ladykiller","","Challenge Info","KgNone","СЕРДЦЕЕД",,,,
"challenge_ladykiller_offer","","Challenge Info","KgNone","ДОРОГОЙ НЕЗНАКОМЕЦ, МОЯ КОМАНДА СЛЕДОВАЛА ЗА ТОБОЙ И СКАЗАЛА, ЧТО В ТЕБЕ ЕСТЬ ПОТЕНЦИАЛ. ОНИ СКАЗАЛИ, ЧТО ЕСЛИ ТЫ СМОЖЕШЬ ПРОЙТИ ЭТО ИСПЫТАНИЕ, ТО У НАС МОЖЕТ НАЙТИСЬ СВОБОДНОЕ МЕСТО ДЛЯ НОВОБРАНЦА. СУМАСШЕДШИЙ «КАК ЛИСА» ДЖЕЙК ИСПЫТАНИЕ: УБИТЬ НЕС",,,,
"challenge_ladykiller_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-ЖЕНЩИН",,,,
"challenge_maneater","","Challenge Info","KgNone","ЛЮДОЕД",,,,
"challenge_maneater_offer","","Challenge Info","KgNone","ЭЙ, ЧУДАК, ПУСТОШЬ - ПУСТОЕ, БЕЗЛЮДНОЕ МЕСТО. МЫ ПРИСМАТРИВАЛИ ЗА ТОБОЙ И ДУМАЮ, ТЫ СМОГ БЫ СТАТЬ ОТЛИЧНЫМ ДОПОЛНЕНИЕМ К НАШЕМУ КЛАНУ. НО ПРЕЖДЕ ЧЕМ МЫ ПРИМЕМ ЕЩЁ ОДИН РОТ, КОТОРЫЙ НУЖНО БУДЕТ КОРМИТЬ, ТЕБЕ НУЖНО ДОКАЗАТЬ, ЧТО ТЫ ДОСТОИН. ВЫПОЛНИ ЭТО З",,,,
"challenge_maneater_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-МУЖЧИН",,,,
"challenge_nailsomechicks","","Challenge Info","KgNone","ПОЙМАТЬ КУРИЦУ",,,,
"challenge_nailsomechicks_offer","","Challenge Info","KgNone","ПРИВЕТ, ДРУГ, ЕСЛИ ТЫ ЧИТАЕШЬ ЭТУ ЗАПИСКУ, ТО ЗНАЙ, МЫ НАБЛЮДАЕМ ЗА ТОБОЙ. МЫ ХОТИМ ДОБАВИТЬ В НАШИ РЯДЫ НЕСКОЛЬКО НОВИЧКОВ, И Я ДУМАЮ, ЧТО ТЫ МОЖЕШЬ СТАТЬ ОДНИМ ИЗ НИХ. ВЫПОЛНИ ЭТУ РАБОТУ, И МЫ, ВОЗМОЖНО, ВЫДЕЛИМ ЕЩЁ ОДНО МЕСТЕЧКО ДЛЯ ЦЫПЛЁНКА В НАШЕМ",,,,
"challenge_nailsomechicks_subtitle","","Challenge Info","KgNone","УБИТЬ КУРИЦ С ГВОЗДОМЁТА",,,,
"challenge_nurseyoubacktohealth","","Challenge Info","KgNone","МЫ ВАС ВЫЛЕЧИМ",,,,
"challenge_nurseyoubacktohealth_offer","","Challenge Info","KgNone","ЭЙ, ВЫЖИВШИЙ, ЕСЛИ У ТЕБЯ ЭТА ЗАПИСКА, ТО ЗНАЙ, ЧТО МЫ СЛЕДУЕМ ЗА ТОБОЙ. НАМ НРАВИТСЯ ТВОЙ СТИЛЬ, НО ПРЕЖЧЕ ЧЕМ МЫ РАССТЕЛИМ КРАСНУЮ КОВРОВУЮ ДОРОЖКУ К НАШЕМУ ЛАГЕРЮ ДАВАЙ ПОСМОТРИМ, СМОЖЕШЬ ЛИ ТЫ СПРАВИТЬСЯ С ЭТИМ НЕБОЛЬШИМ ЗАДАНИЕМ. СУМАСШЕДШИЙ «И М",,,,
"challenge_nurseyoubacktohealth_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ЗОМБИ-МЕДСЕСТЁР",,,,
"challenge_silenceofthelambs","","Challenge Info","KgNone","МОЛЧАНИЕ ЯГНЯТ",,,,
"challenge_silenceofthelambs_offer","","Challenge Info","KgNone","ДОРОГОЙ ВЫЖИВШИЙ, ЕСЛИ ТЫ НАШЁЛ ЭТУ ЗАПИСКУ, ТО ЗНАЙ, Я СО СВОЕЙ КОМАНДОЙ НАБЛЮДАЕМ ЗА ТОБОЙ ИЗДАЛЕКА. ТЫ ОЧЕНЬ ХОРОШЬ В ВЫЖИВАНИИ, НО ДАВАЙ ПОСМОТРИМ, СМОЖЕШЬ ЛИ ТЫ ПРОЙТИ ЭТОТ ТЕСТ, И, ВОЗМОЖНО, МЫ ПОЗВОЛИМ ТЕБЕ ПРИСОЕДИНИТЬСЯ К НАШЕМУ КЛАНУ. УДАЧИ,",,,,
"challenge_silenceofthelambs_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО КРИКУНИЙ",,,,
"challenge_stagparty","","Challenge Info","KgNone","ВЕЧЕРИНКА ОЛЕНЕЙ",,,,
"challenge_stagparty_offer","","Challenge Info","KgNone","НУ И КАК ТВОИ ДЕЛИШКИ, ДРУГ, ЕСЛИ ТЫ ЧИТАЕШЬ ЭТО, ТО ЗНАЙ, МОИ ПАРНИ СЛЕДЯТ ЗА ТОБОЙ. ЭТО ПУСТЯКОВОЕ ДЕЛО ДЛЯ НАС, И МЫ МОЖЕМ ВЗЯТЬ ТЕБЯ В НАШИ РЯДЫ. ЕСЛИ НЕ ПОЗВОЛИШЬ ДОРОГЕ СЛОМАТЬ ТЕБЯ, ГДЕ ГОСПОДЬ РАСЩЕПИТ ТЕБЯ. СКОЛЬЗКИЙ «КАК СТЁКЛЫШКО» ВИЛЛИ ",,,,
"challenge_stagparty_subtitle","","Challenge Info","KgNone","УБИТЬ ОЛЕНЕЙ",,,,
"challenge_thatlldopig","","Challenge Info","KgNone","ЧТО СДЕЛАЕТ СВИНКА",,,,
"challenge_thatlldopig_offer","","Challenge Info","EnChanged KgNone","ПРИВЕТСТВУЮ, СТРАННИК, ЕСЛИ ТЫ ДЕРЖИШЬ ЭТУ ЗАПИСКУ В РУКАХ, ТО ЗНАЙ, МОИ ПАРНИ ПРИЛИПЛИ К ТЕБЕ, КАК МУХИ НА ДЕРЬМО. ЭТО ВСЁ ПОТОМУ, ЧТО МЫ ДУМАЕШЬ, ЧТО ТЫ МОЖЕШЬ СТАТЬ ЧАСТЬЮ СКОЛЬЗКОГО ВИЛЛИ. ИТАК, ЕСЛИ ТЫ ВЫПОЛНИШЬ ЭТО МАЛЕНЬКОЕ ЗАДАНИЕ, МЫ СМОГЛИ БЫ",,,,
"challenge_thatlldopig_subtitle","","Challenge Info","EnChanged KgNone","УБИТЬ СВИНЕЙ",,,,
"challenge_yournothingspecial","","Challenge Info","KgNone","В ТЕБЕ НЕТ НИЧЕГО ОСОБЕННОГО",,,,
"challenge_yournothingspecial_offer","","Challenge Info","KgNone","СЛУШАЙ, УБЛЮДОК, ЕДИНСТВЕННАЯ ПРИЧИНА, ПОЧЕМУ ТЫ НЕ МЁРТВ - ТЫ МНЕ НРАВИШЬСЯ. ВЕРНО, МЫ НАБЛЮДАЕМ ЗА ТОБОЙ. НАМ БЫ ПРИГОДИЛСЯ ЧЕЛОВЕК С ТВОИМИ ТАЛАНТАМИ, ПОЭТОМУ, ЕСЛИ ТЫ СПРАВИШЬСЯ С ЭТОЙ МАЛЕНЬКОЙ ЗАДАЧКОЙ, ТЫ СМОЖЕШЬ ВСТУПИТЬ В СУМАСШЕДШУЮ КОМАНДУ.",,,,
"challenge_yournothingspecial_subtitle","","Challenge Info","KgNone","УБИТЬ НЕСКОЛЬКО ОСОБЫХ ЗАРАЖЁННЫХ",,,,
"treasure_claude_offer","","Challenge Info","KgNone","ПРИВЕТ, ДРУГ, Я ДАЖЕ НЕ ЗНАЮ ТЕБЯ, НО Я ДОЛЖЕН ПОДЕЛИТЬСЯ СВОИМИ МЫСЛЯМИ В МОЙ САМЫЙ ТЁМНЫЙ ЧАС. Я БЫЛ УКУШЕН ОДНИМ ИЗ МОНСТРОВ, И Я ЧУВСТВУЮ, КАК ПРЕВРАЩАЮСЬ. ПОКА Я БОРЮСЬ С ЖЕЛАНИЕМ СОЖРАТЬ СВОЮ СЕМЬЮ, МНЕ ХОТЕЛ БЫ СДЕЛАТЬ ПОСЛЕДНЕЕ ДОБРОЕ ДЕЛО. СЛЕ",,,,
"treasure_claude_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ КЛОДА",,,,
"treasure_jennifer_offer","","Challenge Info","KgNone","ТОМУ, КТО НАЙДЁТ ЭТУ ЗАПИСКУ, ДРУГ, КОНЕЦ БЛИЗОК. МОНСТРЫ ЛОМАЮТ ДВЕРЬ, И В ЭТИ ПОСЛЕДНИЕ МИНУТЫ Я МОГУ ДУМАТЬ ТОЛЬКО О ТОМ, ЧТО ХОТЕЛ БЫ ЗАПОМНИТЬ. НЕ КАК ТРУС, А КАК ЧЕЛОВЕК, КОТОРЫЙ ДУМАЕТ О ДРУГИХ. Я ОСТАВЛЯЮ ВАМ ЭТУ КАРТУ, ЧТОБЫ ВЫ НАШЛИ ОДИН ИЗ М",,,,
"treasure_jennifer_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ ДЖЕННИФЕРА",,,,
"treasure_nickole_offer","","Challenge Info","KgNone","КОМУ-ТО ЭТО МОЖЕТ ПРИГОДИТЬСЯ, ЕСЛИ ВЫ ЗАВЛАДЕЛИ ЭТОЙ ЗАПИСКОЙ, СКОРЕЕ ВСЕГО, ЧТО Я БЫЛ СОЖРАН МЕРТВЯКАМИ. СЛЕДУЙТЕ ЭТОЙ КАРТЕ, ЧТОБЫ ОТЫСКАТЬ ОДИН ИЗ МОИХ МНОГОЧИСЛЕННЫХ ТАЙНИКОВ С СОКРОВИЩАМИ, КОТОРЫЕ Я ЗАКОПАЛ, ЧТОБЫ СПРЯТАТЬ ОТ СУМАСШЕДШЕГО ДЖЕЙКА.",,,,
"treasure_nickole_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ НИКОЛЯ",,,,
"treasure_raphael_offer","","Challenge Info","KgNone","ДОРОГОЙ НЕЗНАКОМЕЦ, Я В ХОЛОДНОМ ПОТУ, И МОИ ДНИ СОЧТЕНЫ. ВСЁ, О ЧЁМ Я МОГУ ДУМАТЬ В СВОЙ ПОСЛЕДНИЙ ЧАС, ЧТО МОЙ СЫН, ДЖОШУА, ВСЁ ЕЩЁ ЖИВ. У МЕНЯ НЕТ ОСНОВАНИЙ ДОВЕРЯТЬ ТЕБЕ, НО У МЕНЯ НЕТ ВЫБОРА. СУМАСШЕДШИЙ ДЖЕЙК ПОХИТИЛ ЕГО. В ТВОИХ РУКАХ КАРТА, ГДЕ",,,,
"treasure_raphael_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ РАФАЭЛЯ",,,,
"treasure_sarah_offer","","Challenge Info","KgNone","ЕСЛИ ВЫ НАШЛИ ЭТУ ЗАПИСКУ, ЭТО МОЖЕТ БЫТЬ ВАШИМ СЧАСТЛИВЫМ ДНЁМ. Я БЫЛА УКУШЕНА ОДНИМ ИЗ СУЩЕСТВ, И МЕНЯ НАКРЫЛО ЛИХОРАДКОЙ. У МЕНЯ МАЛО ВРЕМЕНИ, НО МЕНЬШЕЕ, ЧТО Я УСПЕЛА СДЕЛАТЬ, ПРЕЖДЕ ЧЕМ ПРЕВРАЩУСЬ, ПОМОЧЬ КОМУ-ТО, КАК ХОТЕЛОСЬ БЫ, ЧТОБЫ БОГ ПОМОГ ",,,,
"treasure_sarah_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ САРЫ",,,,
"treasure_stephan_offer","","Challenge Info","KgNone","ДОРОГОЙ ДРУГ, ЕСЛИ ВЫ ПОЛУЧИЛИ ЭТЙ ЗАПИСКУ, ТО Я, СКОРЕЕ ВСЕГО, МЁРТВ ИЛИ ЕЩЁ ХУЖЕ - СТАЛ ОДНИМ ИЗ ЭТИХ МОНСТРОВ. Я ОСТАВЛЯЮ ВАМ КАРТУ С ПОМЕТКОЙ ОДНОГО ИЗ МНОЖЕСТВА ЗАКОПАННЫХ МНОЙ ТАЙНИКОВ С ПРИПАСАМИ. ЕСЛИ ВЫ НАЙДЁТЕ ЕГО, ОБЕЩАЙТЕ МНЕ, ЧТО ИСПОЛЬЗУЕ",,,,
"treasure_stephan_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ СТЕФАНА",,,,
"treasure_taylor_offer","","Challenge Info","KgNone","ДОРОГОЙ ВЫЖИВШИЙ, ЕСЛИ ВЫ ЧИТАЕТЕ ЭТУ ЗАПИСКУ, ЗНАЧИТ ПРОИЗОШЛО ЧТО-ТО УЖАСНОЕ, И, СКОРЕЕ ВСЕГО, Я МЁРТВ. НО Я НЕ ХОЧУ, ЧТОБЫ ВСЕ МОИ ТАЙНИКИ С ПРИПАСАМИ СТАЛИ ХЛАМОМ, И Я ХОЧУ, ЧТОБЫ ВЫ ЗАБРАЛИ ОДИН ИЗ НИХ. Я ОТМЕТИЛ ДЛЯ ВАС МЕСТО НА ЭТОЙ КАРТЕ. УДАЧ",,,,
"treasure_taylor_subtitle","","Challenge Info","KgNone","КАРТА СОКРОВИЩ ТЕЙЛОРА",,,,
"difficulty_easy","","Difficulty","KgNone","ЛЕГКО",,,,
"difficulty_hard","","Difficulty","KgNone","ТЯЖЕЛО",,,,
"difficulty_insane","","Difficulty","KgNone","НЕВОЗМОЖНО",,,,
"difficulty_medium","","Difficulty","KgNone","СРЕДНЕ",,,,
"difficulty_veryeasy","","Difficulty","KgNone","ОЧЕНЬ ЛЕГКО",,,,
"completed","","Keywords","KgNone","Завершено",,,,
"failed","","Keywords","KgNone","Провалено",,,,
"ObjectiveAnimalKill_keyword","","Keywords","KgNone","УБИТЬ",,,,
"ObjectiveAssemble_keyword","","Keywords","KgNone","СОБРАТЬ",,,,
"ObjectiveBlockActivate_keyword","","Keywords","KgNone","Activate",,,,
"ObjectiveBlockPickup_keyword","","Keywords","KgNone","ВЗЯТЬ",,,,
"ObjectiveBlockPlace_keyword","","Keywords","KgNone","РАЗМЕСТИТЬ",,,,
"ObjectiveBlockUpgrade_keyword","","Keywords","KgNone","УЛУЧШИТЬ",,,,
"ObjectiveBuff_keyword","","Keywords","KgNone","ПОЛУЧИТЬ",,,,
"ObjectiveCraft_keyword","","Keywords","KgNone","СДЕЛАТЬ",,,,
"ObjectiveExchangeItemFrom_keyword","","Keywords","KgNone","ЗАПОЛНИТЬ",,,,
"ObjectiveFetch_keyword","","Keywords","KgNone","СОБРАТЬ",,,,
"ObjectiveFetchContainer_keyword","","Keywords","KgNone","Find",,,,
"ObjectiveGoto_keyword","","Keywords","KgNone","НАЙТИ {0}",,,,
"ObjectiveLocateSupplies_keyword","","Keywords","New","Locate Supplies",,,,
"ObjectiveNearby_keyword","","Keywords","New","Nearby",,,,
"ObjectiveOpenWindow_keyword","","Keywords","KgNone","ОТКРЫТЬ ОКНО «{0}»",,,,
"ObjectiveRallyPointActivate","","Keywords","New","Activate Rally Point",,,,
"ObjectiveRallyPointHeadTo","","Keywords","New","Head to Rally Point",,,,
"ObjectiveRepair_keyword","","Keywords","KgNone","ПОЧИНИТЬ",,,,
"ObjectiveScrap_keyword","","Keywords","KgNone","ПЕРЕРАБОТАТЬ",,,,
"ObjectiveSpendSkillPoints_keyword","","Keywords","KgNone","ПОТРАТИТЬ {0} ОЧКОВ НАВЫКА",,,,
"ObjectiveTime_keyword","","Keywords","KgNone","ВРЕМЯ",,,,
"ObjectiveTreasureChest_keyword","","Keywords","New","НАЙТИ СОКРОВИЩЕ",,,,
"ObjectiveWaitForActivate_keyword","","Keywords","New","Wait for Activate",,,,
"ObjectiveWear_keyword","","Keywords","KgNone","НАДЕТЬ",,,,
"ObjectiveZombieKill_keyword","","Keywords","KgNone","УБИТЬ",,,,
"optional","","Keywords","KgNone","НЕОБЯЗАТЕЛЬНО",,,,
"RequirementBuff_keyword","","Keywords","KgNone","ЭФФЕКТ",,,,
"RequirementHolding_keyword","","Keywords","KgNone","ИСПОЛЬЗОВАТЬ",,,,
"RequirementLevel_keyword","","Keywords","KgNone","УРОВЕНЬ",,,,
"RequirementWearing_keyword","","Keywords","KgNone","НАДЕТЬ",,,,
"RewardExp_keyword","","Keywords","KgNone","ОП",,,,
"RewardLevel_keyword","","Keywords","KgNone","УРОВЕНЬ",,,,
"RewardQuest_keyword","","Keywords","KgNone","НОВОЕ ЗАДАНИЕ",,,,
"RewardRecipe_keyword","","Keywords","KgNone","ОТКРЫТ РЕЦЕПТ",,,,
"RewardSkill_keyword","","Keywords","KgNone","НАВЫК",,,,
"RewardSkillPoint_keyword","","Keywords","KgNone","ОЧКО НАВЫКОВ",,,,
"RewardTypeChainQuest","","Keywords","KgNone","СЕРИЯ НАГРАД",,,,
"RewardTypeQuest","","Keywords","KgNone","НАГРАДА",,,,
"started","","Keywords","KgNone","Начато",,,,
"Tip_keyword","","Keywords","KeyTrunk FrNone GrNone KgNone SpNone","Совет",,,,
"poiLockoutBedroll","","POI Lockout","New","There is a bedroll placed inside the POI you are wanting to quest in. Please come back later.",,,,
"poiLockoutLandClaim","","POI Lockout","New","There is a landclaim placed inside the POI you are wanting to quest in. Please come back later.",,,,
"poiLockoutPlayerInside","","POI Lockout","New","There is a player inside the POI you are wanting to quest in. Please come back later.",,,,
"poiLockoutQuestLock","","POI Lockout","New","This area is not available for questing at this time. Please come back later.",,,,
"airDropTip","","Popup Tip","KeyTrunk FrNone GrNone KgNone SpNone","ВЫБРОСКИ ПРИПАСОВ МОГУТ ПРОИСХОДИТЬ ПРИМЕРНО В СЕРЕДИНЕ ДНЯ. СЛУШАЙТЕ САМОЛЁТЫ И ДВИГАЙТЕСЬ В СТОРОНУ ОРАНЖЕВОГО ДЫМА, ЧТОБЫ НАЙТИ СБРОШЕННЫЙ С САМОЛЁТА ЯЩИК. ВЫ ТАКЖЕ МОЖЕТЕ НАЙТИ ЯЩИКИ ПО МЕТКЕ НА ВАШЕЙ КАРТЕ, ЕСЛИ МЕТКА АВИА-ГРУЗОВ ВКЛЮЧНА В НАСТРОЙ",,,,
"airDropTip_title","","Popup Tip","KeyTrunk FrNone GrNone KgNone SpNone","АВИА-ГРУЗЫ",,,,
"alternateAmmoTip","","Popup Tip","KeyTrunk FrNone GrNone KgNone SpNone","НЕКОТОРЫЕ ВИДЫ ОРУЖИЯ ИМЕЮТ БОЛЕЕ ОДНОГО ТИПА БОЕПРИПАСОВ. УДЕРЖИВАЙТЕ КЛАВИШУ «ПЕРЕЗАРЯДКА», ЧТОБЫ ПРОСМОТРЕТЬ И ЗАРЯДИТЬ ВОЗМОЖНЫЕ ТИПЫ БОЕПРИПАСОВ.",,,,
"alternateAmmoTip_title","","Popup Tip","KeyTrunk FrNone GrNone KgNone SpNone","АЛЬТЕРНАТИВНЫЕ БОЕПРИПАСЫ",,,,
"augmentGunsTip","","Popup Tip","EnChanged","К ОРУЖИЮ МОЖЕТ БЫТЬ ПРИКРЕПЛЁН ФОНАРИК ПОСЛЕ ИЗУЧЕНИЯ РЕЦЕПТА ЭТОГО ОРУЖИЯ. ПРИКРЕПИТЬ ЕГО МОЖНО, ВЫБРАВ ОРУЖИЕ В СВОЁМ ИНВЕНТАРЕ И НАЖАВ КНОПКУ «СОБРАТЬ», ПОСЛЕ ЧЕГО ПЕРЕТАЩИТЬ ФОНАРИК В СЛОТ. ЭТИ РЕЦЕПТЫ НЕ БУДУТ ОТОБРАЖАТЬСЯ В МЕНЮ «РЕМЕСЛО».",,,,
"augmentGunsTip_title","","Popup Tip","KeyTrunk FrNone GrNone KgNone SpNone","ОБВЕС ОРУЖИЯ",,,,
"batteryBankTip","","Popup Tip","","The Battery Bank allows you to power your electrical components. It requires at least one battery, expandable up to six. The maximum energy output is determined by the number of batteries installed and their quality. An externally powered and turned on Ba",,,,
