"Key","Source","Context","Changes","English"
"ceilingFanLight","blocks","Block","New","Ceiling Fan Light (POI)"
"ceilingLight01","blocks","Block","EnChanged","Simple Light (POI)"
"ceilingLight02","blocks","Block","EnChanged","Silver Dome Light (POI)"
"ceilingLight02Brass","blocks","Block","EnChanged","Brass Dome Light (POI)"
"ceilingLight04","blocks","Block","EnChanged","Warehouse Ceiling Light (POI)"
"ceilingLight05","blocks","Block","EnChanged","Silver Glass Light (POI)"
"ceilingLight05Brass","blocks","Block","EnChanged","Brass Glass Light (POI)"
"ceilingLight07","blocks","Block","EnChanged","Fluorescent Light (POI)"
"chainLink","blocks","Block","GrChanged","Chain Link"
"chainLinkCornerBottom","blocks","Block","GrChanged","Chain Link Corner Bottom"
"chainLinkCornerTop","blocks","Block","GrChanged","Chain Link Corner Top"
"chainLinkFenceBottomPole","blocks","Block","GrChanged","Chain Link Fence Bottom Pole"
"chainLinkFenceTop","blocks","Block","GrChanged","Chain Link Fence Top"
"chainLinkFenceTopPole","blocks","Block","GrChanged","Chain Link Fence Top Pole"
"chainLinkFenceTopPole2","blocks","Block","GrChanged","Chain Link Fence Top Pole 2"
"chainLinkPole","blocks","Block","GrChanged","Chain Link Pole"
"chairCouchSofa01","blocks","Block","KeyChanged EnChanged GrChanged","Sofa Chair 01"
"medicalPileSmall","blocks","Block","New","Small Medical Pile"
"medicalPileMedium","blocks","Block","New","Medium Medical Pile"
"medicalPileLarge","blocks","Block","New","Large Medical Pile"
"medicalPileRandomHelper","blocks","Block","New","= Medical Pile = Random Helper"
"medicalPileRandomHelperDesc","blocks","Block","New","Will spawn a random chem set table deco."
"cinderBlocks01","blocks","Block","KgNone","Cinder Blocks01"
"cinderBlocks02","blocks","Block","KgNone","Cinder Blocks02"
"cinderBlocks03","blocks","Block","KgNone","Cinder Blocks03"
"cntBagsRandomLootHelper","blocks","Block","New","= Bag / Backpack = Random Helper"
"cntBagsRandomLootHelperDesc","blocks","Block","New","Will randomly spawn bags, backpacks, and purses (50%), small trash (25%) or nothing (25%)."
"cntBathTubEmpty","blocks","Block","New","Empty Bath Tub"
"cntBathTubGore","blocks","Block","New","Bath Tub... filled"
"cntBathTubsRandomLootHelper","blocks","Block","New","= Bath Tubs = Random Helper"
"cntBathTubsRandomLootHelperDesc","blocks","Block","New","Will randomly spawn empty (often) and gore-filled (rare) bath tubs."
"cntBookcaseEmpty","blocks","Block","New","Empty Bookcase"
"cntBusCity","blocks","Block","New","City Bus"
"cntBusSchool","blocks","Block","New","School Bus"
"cntBusSchoolShort","blocks","Block","New","Short School Bus"
"cntBusShuttle","blocks","Block","New","Shuttle Bus"
"cntCashRegisterEmpty","blocks","Block","KgNone","Cash Register Empty"
"cntCashRegisterRandomLootHelper","blocks","Block","New","= Cash Registers = Random Helper"
"cntCashRegisterRandomLootHelperDesc","blocks","Block","New","Will randomly spawn empty (often) and lootable (rare) cash registers."
"cntFridgeStainlessSteelRandomLootHelper","blocks","Block","New","= S Steel Fridge = Random Helper"
"cntFridgeStainlessSteelRandomLootHelperDesc","blocks","Block","New","Will randomly spawn (65%) open and (35%) closed and lootable fridges."
"cntMedicLootPileA","blocks","Block","New","Medical Supplies"
"cntMedicLootPileB","blocks","Block","New","Medical Supplies"
"cntMicrowaveOvenRandomLootHelper","blocks","Block","New","= Microwave Oven = Random Helper"
"cntMicrowaveOvenRandomLootHelperDesc","blocks","Block","New","Will randomly spawn (65%) open and (35%) closed and lootable microwaves."
"cntMicrowaveOvenVer1Open","blocks","Block","New","Microwave, Open"
"cntPillCaseClosed","blocks","Block","New","Medical Cabinet"
"cntPillCaseEmpty","blocks","Block","New","Medical Cabinet Empty"
"cntPillCaseRandomLootHelper","blocks","Block","New","= Medical Cabinet = Random Helper"
"cntPillCaseRandomLootHelperDesc","blocks","Block","New","Will randomly spawn (65%) open and (35%) closed and lootable versions."
"cntQuestLootBox","blocks","Block","New","Wilson's Loot Box"
"cntRetroFridgeRandomLootHelper","blocks","Block","New","= Retro Fridge = Random Helper"
"cntRetroFridgeRandomLootHelperDesc","blocks","Block","New","Will randomly spawn (65%) open and (35%) closed and lootable fridges."
"cobblestoneArch","blocks","Block","New","Cobblestone Arch 2m"
"cobblestoneArrowSlitHalf","blocks","Block","New","Cobblestone Arrow Slit"
"cobblestoneBlock","blocks","Block","KgNone","Cobblestone Block"
"cobblestoneCNRFull","blocks","Block","New","Cobblestone Full Corner"
"cobblestoneCNRInside","blocks","Block","New","Cobblestone Inside Corner"
"cobblestoneCNRRamp","blocks","Block","New","Cobblestone CNR Ramp"
"cobblestoneCNRRampFiller","blocks","Block","New","Cobblestone Ramp Corner Filler"
"cobblestoneCTRpole","blocks","Block","New","cobblestone Pole Centered"
"cobblestoneGableInvertedHalf","blocks","Block","New","Cobblestone Gable Inverted Half"
"cobblestoneGableInvertedQuarter","blocks","Block","New","Cobblestone Gable Inverted Quarter"
"cobblestoneGableInvertedSteep","blocks","Block","New","Cobblestone Gable Inverted Steep"
"cobblestoneGableQuarter","blocks","Block","New","Cobblestone Gable Quarter"
"cobblestoneGroupDesc","blocks","Block","New","You get Cobblestone by upgrading Flagstone blocks. One of the strongest blocks you can build early on."
"cobblestoneHalf","blocks","Block","New","cobblestone 1/2 Block"
"cobblestonePillar100","blocks","Block","New","Cobblestone Pillar 100"
"cobblestonePillar50","blocks","Block","New","Cobblestone Pillar 50"
"cobblestonePlate","blocks","Block","New","Cobblestone Plate"
"cobblestonePlateOffset","blocks","Block","New","Cobblestone Plate Offset"
"cobblestonePole","blocks","Block","New","Cobblestone Pole"
"cobblestonePyramid","blocks","Block","New","Cobblestone Pyramid"
"cobblestoneQuarterCNR","blocks","Block","New","Cobblestone 1/4 Corner"
"cobblestoneQuarterCNR3Way","blocks","Block","New","Cobblestone 1/4 Corner 3Way"
"cobblestoneQuarterSCtr","blocks","Block","New","Cobblestone 1/4 SCtr"
"cobblestoneQuarterTeeSCtr","blocks","Block","New","Cobblestone 1/4 T SCtr"
"cobblestoneRamp","blocks","Block","KgNone","Cobblestone Ramp"
"cobblestoneStairs25","blocks","Block","KgNone","Cobblestone Stairs"
"cobblestoneStairs25CornerCNR","blocks","Block","New","Cobblestone Stairs Corner"
"cobblestoneStairs25Desc","blocks","Block","KgNone","Can be upgraded to concrete."
"cobblestoneWedge","blocks","Block","New","Cobblestone Wedge"
"cobblestoneWedgeCNRInsideBottom","blocks","Block","New","Cobblestone Wedge Inside Corner Bottom"
"cobblestoneWedgeCNRInsideSteepBase","blocks","Block","New","Cobblestone Wedge Steep Inside Corner Base"
"cobblestoneWedgeCNRInsideSteepTop","blocks","Block","New","Cobblestone Wedge Steep Inside Corner Top"
"cobblestoneWedgeCNRInsideTop","blocks","Block","New","Cobblestone Wedge Inside Corner Top"
"cobblestoneWedgeCNRSteepBase","blocks","Block","New","Cobblestone Wedge Steep Corner Base"
"cobblestoneWedgeCNRSteepTop","blocks","Block","New","Cobblestone Wedge Steep Corner Top"
"cobblestoneWedgeIncline","blocks","Block","New","Cobblestone Wedge Incline"
"cobblestoneWedgeStairs","blocks","Block","New","Cobblestone Wedge Stairs"
"cobblestoneWedgeTip","blocks","Block","New","Cobblestone Wedge Tip"
"cobblestoneWedgeTipCNRFullBottom","blocks","Block","New","Cobblestone Wedge Full Corner Bottom"
"cobblestoneWedgeTipCNRFullTop","blocks","Block","New","Cobblestone Wedge Full Corner Top"
"cobblestoneWedgeTipStairs","blocks","Block","New","Cobblestone Wedge Tip Stairs"
"cobweb","blocks","Block","KgNone","Cobweb"
"cobwebDesc","blocks","Block","KgNone","A cobweb made by a spider. If this was Marvel it might mean something."
"coffeeTable","blocks","Block","New","Coffee Table"
"commercialBlindsBottom","blocks","Block","New","Commercial Blinds Bottom"
"commercialBlindsTop","blocks","Block","New","Commercial Blinds Top"
"commercialDoor1_v1","blocks","Block","KgNone","Commercial Door 1"
"commercialDoor1_v2","blocks","Block","KgNone","Commercial Door 1 v2"
"commercialDoor1_v3","blocks","Block","KgNone","Commercial Door 1 v3"
"commercialDoor2_v1","blocks","Block","KgNone","Commercial Door 2"
"commercialDoor2_v2","blocks","Block","KgNone","Commercial Door 2 v2"
"commercialDoor2_v3","blocks","Block","KgNone","Commercial Door 2 v3"
"commercialDoor4_v1","blocks","Block","KgNone","Commercial Door 4"
"commercialDoor4_v2","blocks","Block","KgNone","Commercial Door 4 v2"
"commercialDoor4_v3","blocks","Block","KgNone","Commercial Door 4 v3"
"concreteArch","blocks","Block","New","Concrete Arch 2m"
"concreteArrowSlitHalf","blocks","Block","New","Concrete Arrow Slit"
"concreteBarrier1","blocks","Block","New","Concrete Barrier 1"
"concreteBarrier2","blocks","Block","New","Concrete Barrier 2"
"concreteBarrier3","blocks","Block","New","Concrete Barrier 3"
"concreteBlock","blocks","Block","KgNone","Concrete Block"
"concreteBlockBaseboard1","blocks","Block","New","Concrete Block Baseboard 1"
"concreteBlockBaseboard4","blocks","Block","New","Concrete Block Baseboard 4"
"concreteBlockBaseboardChairRail1","blocks","Block","New","Concrete Block Baseboard Chair Rail 1"
"concreteBlockBaseboardChairRail4","blocks","Block","New","Concrete Block Baseboard Chair Rail 4"
"concreteBlockTileBroken01","blocks","Block","New","Concrete Block, Broken Tile"
"concreteCNRFull","blocks","Block","KgNone","Concrete Full Corner"
"concreteCNRInside","blocks","Block","KgNone","Concrete Inside Corner"
"concreteCNRRamp","blocks","Block","KgNone","Concrete Ramp Corner"
"concreteCNRRampFiller","blocks","Block","New","Concrete Ramp Corner Filler"
"concreteCNRRound","blocks","Block","New","Concrete Corner Round"
"concreteCNRRoundTop","blocks","Block","New","Concrete Corner Round Top"
"concreteCornerstone","blocks","Block","New","Concrete Cornerstone"
"concreteCTRPlate","blocks","Block","KgNone","Concrete Plate Centered"
"concreteCTRpole","blocks","Block","New","Concrete Pole Centered"
"concreteCTRQuarter","blocks","Block","New","Concrete 1/4 Block Centered"
"concreteDestroyed01","blocks","Block","New","concrete Destroyed 01"
"concreteDestroyed02","blocks","Block","New","concrete Destroyed 02"
"concreteDestroyed03","blocks","Block","New","concrete Destroyed 03"
"concreteDestroyed04","blocks","Block","New","concrete Destroyed 04"
"concreteDestroyed05","blocks","Block","New","concrete Destroyed 05"
"concreteDestroyed06","blocks","Block","New","concrete Destroyed 06"
"concreteDestroyed07","blocks","Block","New","concrete Destroyed 07"
"concreteEighth","blocks","Block","KgNone","Concrete 1/8 Block"
"concreteFormBlock","blocks","Block","KgNone","Concrete Form Block"
"concreteFormCNRInside","blocks","Block","KgNone","Concrete Form Corner Inside"
"concreteFormCTRpole","blocks","Block","New","concrete Form Pole Centered"
"concreteFormRamp","blocks","Block","KgNone","Concrete Form Ramp"
"concreteGable1m","blocks","Block","New","Concrete Gable 1m"
"concreteGableInvertedHalf","blocks","Block","New","Concrete Gable Inverted Half"
"concreteGableInvertedQuarter","blocks","Block","New","Concrete Gable Inverted Quarter"
"concreteGableInvertedSteep","blocks","Block","New","Concrete Gable Inverted Steep"
"concreteGableQuarter","blocks","Block","New","Concrete Gable Quarter"
"concreteGroupDesc","blocks","Block","New","A very flexible building material. Place and wait for the concrete to set. Can be upgraded to reinforced concrete."
"concreteHalf","blocks","Block","KgNone","Concrete 1/2 Block"
"concreteHalfCentered","blocks","Block","New","Concrete 1/2 Block CTR"
"concreteHalfCNRInside2","blocks","Block","New","Concrete 1/2 Block Corner Inside 2"
"concreteHalfPlate","blocks","Block","New","Concrete Half Plate"
"concreteHalfRampStairs50","blocks","Block","New","Concrete 1/2 Ramp"
"concreteHalfRampStairs50Filler","blocks","Block","New","Concrete 1/2 Ramp Filler"
"concreteNoUpgradeGroupDesc","blocks","Block","New","A very flexible building material. This block can not be upgraded and is likely only found in the creative menu."
"concretePillar100","blocks","Block","KgNone","Concrete Pillar 100"
"concretePillar100Cap","blocks","Block","New","Concrete Pillar 100 Cap"
"concretePillar50","blocks","Block","KgNone","Concrete Pillar 50"
"concretePlate","blocks","Block","KgNone","Concrete Plate"
"concretePlateOffset","blocks","Block","New","Concrete Plate Offset"
"concretePole","blocks","Block","KgNone","Concrete Pole"
"concretePoleSCTR","blocks","Block","New","Concrete Pole SCTR"
"concretePyramid","blocks","Block","KgNone","Concrete Pyramid"
"concretePyramid1m","blocks","Block","New","Concrete Pyramid 1m"
"concreteQuarter","blocks","Block","KgNone","Concrete 1/4 Block"
"concreteQuarterCNR","blocks","Block","New","Concrete 1/4 Corner"
"concreteQuarterCNR3Way","blocks","Block","New","Concrete 1/4 Corner 3Way"
"concreteQuarterSCtr","blocks","Block","New","Concrete 1/4 SCtr"
"concreteQuarterTeeSCtr","blocks","Block","New","Concrete 1/4 T SCtr"
"concreteRamp","blocks","Block","KgNone","Concrete Ramp"
"concreteStairs25","blocks","Block","KgNone","Concrete Stairs"
"concreteStairs25CornerCNR","blocks","Block","New","Concrete Stairs Corner"
"concreteStairs50","blocks","Block","KgNone","Concrete Stairs50"
"concreteStairsFilledRailingLeft","blocks","Block","New","Concrete Stairs, Railing Left"
"concreteStairsFilledRailingRight","blocks","Block","New","Concrete Stairs, Railing Right"
"concreteSupport","blocks","Block","KgNone","Concrete Support"
"concreteTubeCenter","blocks","Block","New","Concrete Tube 3m Center"
"concreteTubeCorner","blocks","Block","New","Concrete Tube 3m Corner"
"concreteTunnelCenter","blocks","Block","New","Concrete Tunnel 3m Center"
"concreteTunnelCorner","blocks","Block","New","Concrete Tunnel 3m Corner"
"concreteWedge","blocks","Block","KgNone","Concrete Wedge"
"concreteWedgeCNRInsideBottom","blocks","Block","New","Concrete Wedge Inside Corner Bottom"
"concreteWedgeCNRInsideSteepBase","blocks","Block","New","Concrete Wedge Steep Inside Corner Base"
"concreteWedgeCNRInsideSteepTop","blocks","Block","New","Concrete Wedge Steep Inside Corner Top"
"concreteWedgeCNRInsideTop","blocks","Block","New","Concrete Wedge Inside Corner Top"
"concreteWedgeCNRSteepBase","blocks","Block","New","Concrete Wedge Steep Corner Base"
"concreteWedgeCNRSteepTop","blocks","Block","New","Concrete Wedge Steep Corner Top"
"concreteWedgeIncline","blocks","Block","New","Concrete Wedge Incline"
"concreteWedgeStairs","blocks","Block","New","Concrete Wedge Stairs"
"concreteWedgeTip","blocks","Block","KgNone","Concrete Wedge Tip"
"concreteWedgeTipCNRFullBottom","blocks","Block","New","Concrete Wedge Full Corner Bottom"
"concreteWedgeTipCNRFullTop","blocks","Block","New","Concrete Wedge Full Corner Top"
"concreteWedgeTipStairs","blocks","Block","New","Concrete Wedge Tip Stairs"
"conduit01","blocks","Block","KgNone","Conduit01"
"conduit01Corner","blocks","Block","KgNone","Conduit01 Corner"
"conduit01Curve","blocks","Block","KgNone","Conduit01 Curve"
"conduit01End","blocks","Block","KgNone","Conduit01 End"
"controlPanelBase01","blocks","Block","KgNone","Control Panel Base 01"
"controlPanelBase02","blocks","Block","KgNone","Control Panel Base 02"
"controlPanelBase03","blocks","Block","KgNone","Control Panel Base 03"
"controlPanelBase04","blocks","Block","KgNone","Control Panel Base 04"
"controlPanelBase05","blocks","Block","KgNone","Control Panel Base 05"
"controlPanelBase06","blocks","Block","KgNone","Control Panel Base 06"
"controlPanelBase07","blocks","Block","KgNone","Control Panel Base 07"
"controlPanelBase08","blocks","Block","KgNone","Control Panel Base 08"
"controlPanelCorner","blocks","Block","KgNone","Control Panel Corner"
"controlPanelTop01","blocks","Block","KgNone","Control Panel Top 01"
"controlPanelTop02","blocks","Block","KgNone","Control Panel Top 02"
"controlPanelTop03","blocks","Block","KgNone","Control Panel Top 03"
"controlPanelTop04","blocks","Block","KgNone","Control Panel Top 04"
"controlPanelTop05","blocks","Block","KgNone","Control Panel Top 05"
"controlPanelTop06","blocks","Block","KgNone","Control Panel Top 06"
"controlPanelTop07","blocks","Block","KgNone","Control Panel Top 07"
"corrugatedMetalBlock","blocks","Block","KgNone","Corr. Metal Block"
"corrugatedMetalCNRFull","blocks","Block","KgNone","Corr. Metal Corner Full"
"corrugatedMetalCNRInside","blocks","Block","KgNone","Corr. Metal Corner Inside"
"corrugatedMetalCNRRamp","blocks","Block","KgNone","Corr. Metal Corner Ramp"
"corrugatedMetalCNRRound","blocks","Block","New","Corr. Metal Corner Round"
"corrugatedMetalCNRRoundTop","blocks","Block","New","Corr. Metal Corner Round Top"
"corrugatedMetalCTRPlate","blocks","Block","GrChanged","Corr. Metal Center Plate"
"corrugatedMetalCTRQuarter","blocks","Block","New","Corr. Metal 1/4 Block Centered"
"corrugatedMetalGable","blocks","Block","KgNone","Corr. Metal Gable"
"corrugatedMetalGable1m","blocks","Block","New","Corr. Metal Gable 1m"
"corrugatedMetalPillar0.025","blocks","Block","New","Corr. Metal Pillar 2.5cm"
"corrugatedMetalPillar0.025CTR","blocks","Block","New","Corr. Metal Pillar 2.5cm Centered"
"corrugatedMetalPillar0.025SCTR","blocks","Block","New","Corr. Metal Pillar 2.5cm SCtr"
"corrugatedMetalPillar0.05","blocks","Block","New","Corr. Metal Pillar 5cm"
"corrugatedMetalPillar0.05CTR","blocks","Block","New","Corr. Metal Pillar 5cm Centered"
"corrugatedMetalPillar0.05SCTR","blocks","Block","New","Corr. Metal Pillar 5cm SCtr"
"corrugatedMetalPillar100","blocks","Block","KgNone","Corr. Metal Pillar 100"
"corrugatedMetalPillar50","blocks","Block","KgNone","Corr. Metal Pillar 50"
"corrugatedMetalPlate","blocks","Block","New","Corr. Metal Plate"
"corrugatedMetalPlateOffset","blocks","Block","New","Corr. Metal Plate Offset"
"corrugatedMetalPole","blocks","Block","KeyChanged","Corr. Metal Pole"
"corrugatedMetalPoleSCTR","blocks","Block","New","Corr. Metal Pole SCTR"
"corrugatedMetalRamp","blocks","Block","KgNone","Corr. Metal Ramp"
"corrugatedMetalSheet","blocks","Block","KgNone","Corr. Metal Sheet"
"corrugatedMetalSheetBent1","blocks","Block","New","Corr. Metal Sheet Bent 1"
"corrugatedMetalSheetBent2","blocks","Block","New","Corr. Metal Sheet Bent 2"
"corrugatedMetalSheetBent3","blocks","Block","New","Corr. Metal Sheet Bent 3"
"corrugatedMetalSheetBent4","blocks","Block","New","Corr. Metal Sheet Bent 4"
"corrugatedMetalStairs25","blocks","Block","KeyChanged","Corr. Metal Stairs 25"
"corrugatedMetalTubeCenter","blocks","Block","New","Corr. Metal Tube 3m Center"
"corrugatedMetalTubeCorner","blocks","Block","New","Corr. Metal Tube 3m Corner"
"corrugatedMetalTunnelCenter","blocks","Block","New","Corr. Metal Tunnel 3m Center"
