eighthBlock,Source,Context,Max Line Width,English,Francais,German
sidingTanPlasterMiddle,blocks,Block,,Рыжий сайдинг(середина),,
sidingTanPlasterTop,blocks,Block,,Рыжий сайдинг(верх),,
sidingWhiteBurnt,blocks,Block,,Белый обгоревший сайдинг,,
sidingYellowPlasterBaseboard,blocks,Block,, Желтый сайдинг(основание),,
sidingYellowPlasterMiddle,blocks,Block,,Желтый сайдинг(середина),,
sidingYellowPlasterTop,blocks,Block,,Желтый сайдинг(верх),,
snow,blocks,Block,,Снег,,
stairsConcrete,blocks,Block,,Ступеньки бетон,,
stairsMetalRivet,blocks,Block,,Ступеньки(Клепаный Металл),,
stairsPavers,blocks,Block,, Ступеньки кирпич,,
stairsSmallRichwood,blocks,Block,,Ступеньки дерево,,
stairsStone,blocks,Block,,Ступеньки камень,,
stairsWroughtIron,blocks,Block,,Ступеньки(Кованое Железо),,
steelDoor1_v1,blocks,Block,,Стальные двери,,
storeShelving01,blocks,Block,,Полка,,
storeShelving01Double,blocks,Block,,Полка2,,
storeShelving01Top,blocks,Block,,Полка3,,
storeShelving01TopDouble,blocks,Block,,Полка4,,
thinMetalPlate,blocks,Block,,Кованое Железо,,
tileIndustrial,blocks,Block,,Производственная Плитка,,
toilet01,blocks,Block,,Унитаз,,
toilet02,blocks,Block,,Унитаз,,
toilet03,blocks,Block,,Унитаз,,
trunkPine,blocks,Block,,Сосновая Древесина,,
trunkPineTip,blocks,Block,,Ствол Сосны(Кончик),,
tubeConcrete,blocks,Block,,Бетонная опора,,
tungstenOre,blocks,Block,,Вольфрамовая Руда,,
wedgeAwning1,blocks,Block,, Тент Клин1,,
wedgeAwning2,blocks,Block,, Тент Клин2,,
wedgeBarnShingles,blocks,Block,,Амбарная черепица(клин),,
wedgeBrick,blocks,Block,,Кирпич клин,,
wedgeCabinFlagstone,blocks,Block,,Каменная плита(Клин),,
wedgeCabinOldWood,blocks,Block,,Старая древесина (клин),,
wedgeCabinShingles,blocks,Block,,Деревянная черепица (клин),,
wedgeCabinShinglesWood,blocks,Block,,Деревянная черепица(клин),,
wedgeDrywallCeiling,blocks,Block,,Гипсокартон(Клин),,
wedgeFlagstoneShingles,blocks,Block,,Черепица/Плитка (клин) ,,
wedgeHouseShinglesAsphalt,blocks,Block,,Черепица/Асфальт для дома (клин),,
wedgeHouseShinglesOld,blocks,Block,,Черепица/Старое дерево для дома (клин),,
wedgeHouseShinglesWood,blocks,Block,,Деревянная черепица для дома (клин),,
wedgeHouseWoodWhite,blocks,Block,,Белое дерево для дома (клин),,
wedgeMetalRivet,blocks,Block,,Клепаный металл (клин),,
wedgeWoodWhiteShinglesAlsphalt,blocks,Block,,Черепица/Асфальт/Белое дерево (клин),,
wedgeWoodWhiteShinglesAsphalt,blocks,Block,,Черепица/Асфальт/Белое дерево (клин),,
wedgeWoodWhiteShinglesOld,blocks,Block,,Старая черепица/Белое дерево (клин),,
wedgeWoodWhiteShinglesWood,blocks,Block,,Черепица/Древесина/Белое дерево (клин),,
wedgeWroughtIron,blocks,Block,,Обработанный металл (клин),,
window03Wood,blocks,Block,,Рама,,
woodenHatch1_v1,blocks,Block,,Люк деревянный,,
woodenStairs,blocks,Block,,Деревянная лестница,,
woodFence,blocks,Block,,Деревянный забор,,
woodFenceOldFarm,blocks,Block,,Деревянный Сельский Забор,,
woodFloor01,blocks,Block,,Деревянный пол,,
woodPainted3,blocks,Block,,Столб,,
woodShinglesCorner,blocks,Block,,Угловая Черепица (Дерево),,
WroughtIronMetal,blocks,Block,,Обработанный металл,,
pressurePlateMine,blocks,Block,,Мина,,
cobblestoneFrame,blocks,Block Building,,Прочный Булыжник,,
cobblestoneRampFrame,blocks,Block Building,,Усиленный булыжник,,
concreteForm,blocks,Block Building,,Форма для бетона,,
concreteRampForm,blocks,Block Building,,Форма для бетона (угол),,
rebarFrame,blocks,Block Building,,Каркас (Арматура),,
rebarRampFrame,blocks,Block Building,,Арматура (К/Н),,
scrapIronFrame,blocks,Block Building,,Каркас из металлолома,,
scrapIronInsideCornerFrame,blocks,Block Building,,Каркас внутреннего угла из металлолома,,
scrapIronOutsideCornerFrame,blocks,Block Building,,Каркас внешний угла из металлолома,,
scrapIronRampFrame,blocks,Block Building,,Каркас наклона из металлолома,,
secureDoorWooden,blocks,Block Building,,Старая деревянная дверь,,
woodFrame,blocks,Block Building,,Дерево/Каркас,,
woodInsideCornerFrame,blocks,Block Building,,Каркас внутреннего деревянного угла,,
woodOutsideCornerFrame,blocks,Block Building,,Каркас внешнего деревянного угла,,
woodRampFrame,blocks,Block Building,,Клин/Каркас,,
plantYucca,blocks,Block Plant,,Юкка,,
signAnselAdamsRiver,blocks,Block Sign,,АнсельАдамсреки,,
signarrowheadapache,blocks,Block Sign,,Arrowhead&Apache,,
signaz260eastspeed65,blocks,Block Sign,,Знак скорость 65),,
signaz260west,blocks,Block Sign,,Знак,,
signaz260westspeed65,blocks,Block Sign,,Знак скорость 65,,
signaz73north,blocks,Block Sign,,Знак,,
signaz73northspeed65,blocks,Block Sign,,Знак скорость 65,,
signaz73south,blocks,Block Sign,,Знак,,
signaz73southspeed65,blocks,Block Sign,,Знак скорость 65,,
signcampfish,blocks,Block Sign,,Знак рыбалка,,
signcamping,blocks,Block Sign,,Знак кемпинг,,
signdestinationseast,blocks,Block Sign,,Знак Восток,,
signdestinationswest,blocks,Block Sign,,Знак Запад,,
signinfocenter,blocks,Block Sign,,Знак Информационныйцентр,,
signNationalPark,blocks,Block Sign,,Знак Национальныйпарк,,
signnohazardouswaste,blocks,Block Sign,,Знак отходоы,,
signrightonly,blocks,Block Sign,,Знак только в право,,
signroadwork,blocks,Block Sign,,Знак дорожные работы,,
signroughsurface,blocks,Block Sign,,Знак колдобины,,
signschoolzone,blocks,Block Sign,,Знак зона,,
signslow,blocks,Block Sign,,Знак 5км,,
signspeed25,blocks,Block Sign,,Знак 25,,
signspeed25notrucks,blocks,Block Sign,,Знак 25,,
signspeed35,blocks,Block Sign,,Знак 35 ,,
signspeed45,blocks,Block Sign,,Знак 45 ,,
signspeed55,blocks,Block Sign,,Знак 55 ,,
signspeed65,blocks,Block Sign,,Знак 65 ,,
signSpillwayLake,blocks,Block Sign,,Знак водослив,,
signstop,blocks,Block Sign,,Знак СТОП ,,
signstop4way,blocks,Block Sign,,Знак тупик,,
signstreetapacheaz260,blocks,Block Sign,,Улица,,
signstreetbelllake,blocks,Block Sign,,Улица,,
signstreetcoronado,blocks,Block Sign,,Улица,,
signstreetcoronadocourtland,blocks,Block Sign,,Улица,,
signstreetcourtlandapache,blocks,Block Sign,,Улица,,
signstreetcourtlandaz260,blocks,Block Sign,,Улица,,
signstreetcourtlandaz2602,blocks,Block Sign,,Улица,,
signstreetcourtlandbell,blocks,Block Sign,,Улица,,
signstreetcourtlandhuenink,blocks,Block Sign,,Улица,,
signstreetcourtlandmaple,blocks,Block Sign,,Улица,,
signstreetcourtlandtran,blocks,Block Sign,,Улица,,
signstreetdavis,blocks,Block Sign,,Улица,,
signstreetessig,blocks,Block Sign,,Улица,,
signstreetlangtran,blocks,Block Sign,,Улица,,
signStreetMaple,blocks,Block Sign,,Улица,,
signstreetprivate,blocks,Block Sign,,Улица,,
signstreettran,blocks,Block Sign,,Улица,,
asphalt,blocks,Block Terrain,,Асфальт ,,
bedrock,blocks,Block Terrain,,Бедрок ,,
beerCooler,blocks,Block Terrain,,Пиво,,
burntForestGround,blocks,Block Terrain,,Обоженная Лесная Почва,,
clay,blocks,Block Terrain,, Глина,,
copperOre,blocks,Block Terrain,,Медная руда,,
destroyedStone,blocks,Block Terrain,,Разбитый камень,,
dirt,blocks,Block Terrain,,Грязь,,
fertileDirt,blocks,Block Terrain,,Грязь,,
fertileFarmland,blocks,Block Terrain,,Плодородная Земля,,
fertileGrass,blocks,Block Terrain,,Плодородная Трава,,
forestGround,blocks,Block Terrain,,Лесная Почва,,
gore,blocks,Block Terrain,,Гора,,
grass,blocks,Block Terrain,,Трава,,
gravel,blocks,Block Terrain,,Гравий,,
ice,blocks,Block Terrain,,Лед,,
plainsGround,blocks,Block Terrain,,Плодородная земля,,
radiated,blocks,Block Terrain,,радиоктивная земля,,
sandStone,blocks,Block Terrain,,Песчаник,,
stone,blocks,Block Terrain,,Камень,,
terrainFiller,blocks,Block Terrain,,Наполнитель ландшафта,,
candleWall,blocks,Item,,Свеча,,
cookingPot,blocks,Item,,Кастрюля,,
cotton,blocks,Item,,Хлопок,,
goldenrod,blocks,Item,,Цветок Золотарник,,
planks4,blocks,Item,,Красные Деревянные Доски,,
potassiumNitrate,blocks,Item,,Нитрат Калия,,
rock01,blocks,Item,,Камень,,
rock02,blocks,Item,,Камень,,
rock03,blocks,Item,,Камень,,
rock04,blocks,Item,,Камень,,
rock05,blocks,Item,,Камень,,
rock06,blocks,Item,,Камень,,
rock07,blocks,Item,,Камень,,
tnt,blocks,Item,,ТНТ,,
wallTorch,blocks,Item,,Факел,,
blueberrySprout,blocks,Item Farming,,Черника Росток ,,
potatoPlant,blocks,Item Farming,,Ростки Картофеля ,,
airConditioner,blocks,Loot Container,,Кондиционер ,,
backpack01,blocks,Loot Container,,Выветрившийся Рюкзак,,
backpack02,blocks,Loot Container,,Разлогающийся Рюкзак,,
backpack03,blocks,Loot Container,,Заплесневелый Рюкзак,,
bin,blocks,Loot Container,,Мусорное Ведро,,
birdnest,blocks,Loot Container,,Гнездо,,
bookcase,blocks,Loot Container,,Книжная полка,,
bookStoreBookcase,blocks,Loot Container,,Книжная полка,,
cabinet,blocks,Loot Container,,Шкаф,,
cabinetOldBottom,blocks,Loot Container,,Шкаф,,
cabinetOldSink,blocks,Loot Container,,Раковина,,
cabinetOldTop,blocks,Loot Container,,Шкаф ,,
cabinetTop,blocks,Loot Container,,Шкаф верх ,,
cardboardBox,blocks,Loot Container,,коробка,,
cashRegister,blocks,Loot Container,,Касса,,
chest01,blocks,Loot Container,,Сундук,,
coffin_bottom,blocks,Loot Container,,Гроб,,
coffin_top,blocks,Loot Container,,Гроб,,
corpseLoot01,blocks,Loot Container,,Труп,,
corpseLoot02,blocks,Loot Container,,Труп,,
deskSafe,blocks,Loot Container,,Сейф,,
deskSafeInsecure,blocks,Loot Container,,Открытый сейф,,
duffle01,blocks,Loot Container,,сумка,,
fileCabinet,blocks,Loot Container,,Шкаф,,
fridge,blocks,Loot Container,,Холодильник,,
fridgeBottom,blocks,Loot Container,,Холодильник,,
graniteSink,blocks,Loot Container,,Раковина,,
gunSafe,blocks,Loot Container,,Оружейный сейф,,
gunSafeInsecure,blocks,Loot Container,,Открытый оружейный сейф,,
lootCrateShotgunMessiah,blocks,Loot Container,,РужьеМессияЯщик,,
lootCrateWorkingStiffs,blocks,Loot Container,,РабочиеStiffsЯщик,,
mailBox01,blocks,Loot Container,,Почтовый ящик,,
mailBox02,blocks,Loot Container,,Почтовый ящик,,
mailBox03,blocks,Loot Container,,Почтовый ящик,,
medicineCabinet,blocks,Loot Container,,Аптечка,,
munitionsBox,blocks,Loot Container,,Ящик с боеприпасами,,
nightstand,blocks,Loot Container,,тумба ,,
oven,blocks,Loot Container,,Духовка,,
pillCase,blocks,Loot Container,,Таблетки,,
purse01,blocks,Loot Container,,Кошелек,,
secureGunSafe,blocks,Loot Container,,Оружейный сейф,,
secureStorageChest,blocks,Loot Container,,Сундук,,
shoppingBasket,blocks,Loot Container,,Корзина ,,
shoppingCart,blocks,Loot Container,,Корзина,,
sportsBag01,blocks,Loot Container,,Гниющая сумка ,,
sportsBag02,blocks,Loot Container,,Выцвевшая сумка,,
storageAmmo,blocks,Loot Container,,Сундук с Боеприпасами,,
storageBuilding,blocks,Loot Container,,Сундук с стройматериалами,,
storageChest,blocks,Loot Container,,Сундук,,
storageExplosives,blocks,Loot Container,,Сундук с взрывчаткой,,
storageFood,blocks,Loot Container,,Дляхраненияпродуктовпитания,,
storageHealth,blocks,Loot Container,,Сундук с медикамеентами,,
storageWeapons,blocks,Loot Container,,Сундук с оружием,,
suitcase,blocks,Loot Container,,Чемодан,,
trash_can01,blocks,Loot Container,,Мусорное ведро,,
trashPile01,blocks,Loot Container,,Мусор,,
trashPile02,blocks,Loot Container,,Мусоа,,
trashPile03,blocks,Loot Container,,Мусоа,,
trashPile04,blocks,Loot Container,,Мусор,,
trashPile05,blocks,Loot Container,,Мусор,,
trashPile06,blocks,Loot Container,,Корзина,,
trashPile07,blocks,Loot Container,,Мусор,,
trashPile08,blocks,Loot Container,,Корзина,,
trashPile09,blocks,Loot Container,,Мусор,,
wallOven,blocks,Loot Container,,Газовая плита,,
wallSafe,blocks,Loot Container,,Настенный сейф,,
wallSafeInsecure,blocks,Loot Container,,Открытый настенный сейф,,
apacheArtifactChest,blocks,Loot Container,,Броня,,
campfire,blocks,Station,,Костер,,
forge,blocks,Station,,Кузница,,
mineAirFilter,blocks,Traps,,Воздушный фильтр,,
mineCandyTin,blocks,Traps,,Мина-Консервная Банка,,
mineHubcap,blocks,Traps,,Мина-Колпак,,
trapSpikes01,blocks,Traps,,Деревянные Колья,,
trapSpikesDamage01,blocks,Traps,,Притупленные Деревянные Колья,,
trapSpikesDamage02,blocks,Traps,,Поврежденные Деревянные Колья,,
trapSpikesDamage03,blocks,Traps,,Сломанные Деревянные Колья,,
trapSpikesDamage04,blocks,Traps,,Безнадежные Деревянные Колья,,
trapSpikesDamage05,blocks,Traps,,Уничтоженные Деревянные Колья,,
handPlayer,items,Backend,,Рука игрока,,
handZombie,items,Backend,,Рука зомби,,
rockSmall,items,Block,,Маленький камень,,
woodPlank,items,Block,,Доска,,
10mmBullet,items,Item,,10mm Пуля,,
762mmBullet,items,Item,,762mm Пуля,,
9mmBullet,items,Item,,9mm пуля,,
airFilter,items,Item,,Воздушный фильтр,,
aloeCream,items,Item,,Крем Алоэ,,
animalFat,items,Item,,Жир,,
animalHide,items,Item,,Шкура,,
antibiotics,items,Item,,Антибиотики,,
arrow,items,Item,,Стрела,,
bandage,items,Item,,Бинт,,
beaker,items,Item,, Стакан,,
bioFuel,items,Item,,Биотопливо,,
blueberries,items,Item,,Черника,,
blueberrySeed,items,Item,,Черничные Семена,,
boneShiv,items,Item,,Кости,,
book,items,Item,,Книга,,
bowl,items,Item,,Глиняная Тарелка,,
brokenGlass,items,Item,,Разбитоестекло,,
bucket,items,Item,, Ковш,,
bulletCasing,items,Item,,Гильзы,,
bulletCasingMold,items,Item,,Шаблон гильз,,
bulletTip,items,Item,,Пуля,,
bulletTipMold,items,Item,,Шаблон пули,,
candle,items,Item,,Свеча,,
candleStick,items,Item,,Медный подсвечник,,
candyTin,items,Item,,Конфеты В Жестяной Банке,,
canEmpty,items,Item,,Пустая банка,,
carBattery,items,Item,,Аккумулятор,,
casinoCoin,items,Item,,Монеты,,
cement,items,Item,,Цемент,,
cementMold,items,Item,,Форма цемента,,
clayLump,items,Item,,Кусок глины,,
cloth,items,Item,,Фрагмент ткани,,
coal,items,Item,,Кусок угля ,,
cobblestones,items,Item,,Булыжник,,
concreteMix,items,Item,,Бетонная смесь,,
cookingGrill,items,Item,,Гриль,,
corn,items,Item,,Кукурузный початок,,
cottonSeed,items,Item,,Семяна хлопка,,
crushedSand,items,Item,,Щебень,,
doorKnob,items,Item,,Латуневая Ручка,,
emptyJar,items,Item,,Стеклянная банка,,
emptyJarMold,items,Item,,Форма стеклянной банки,,
feather,items,Item,,Перо,,
femur,items,Item,,Большая Кость,,
firstAidBandage,items,Item,,Бинты,,
fishingWeight,items,Item,,Крючки для рыбалки,,
flare,items,Item,,Граната,,
forgedIron,items,Item,,Утюг,,
gasCan,items,Item,, Газовый баллон,,
goldenrodSeed,items,Item,,Златоцвет семяна,,
goldenRodTea,items,Item,,Чай из Златоцвета,,
grainAlcohol,items,Item,,Самагон,,
gunPowderCharge,items,Item,,Пороховой заряд,,
hubcap,items,Item,,Колпак,,
huntingKnife,items,Item,,Охотничий нож,,
ingotBrass,items,Item,,Латунный слиток,,
ingotCopper,items,Item,,Медный слиток,,
ingotIron,items,Item,,Железный слиток,,
ingotLead,items,Item,,Свинцовый Слиток,,
IngotMoldBrass,items,Item,, Шаблон латунного слитка,,
IngotMoldCopper,items,Item,,Шаблон медного слитка,,
IngotMoldIron,items,Item,,Шаблон железного слитка,,
IngotMoldLead,items,Item,,Шаблон свинцового слитка,,
IngotMoldTungsten,items,Item,,Шаблон Вольфрамового слитка,,
ingotTungsten,items,Item,,Вольфрамный слиток,,
ironFragment,items,Item,,Фрагмент железа,,
leather,items,Item,,Кожа,,
leatherStrips,items,Item,,Полоски кожи,,
leatherTanning,items,Item,,Дубление кожи (книга),
mapleSeed,items,Item,,Семена клена,,
masonJar,items,Item,,Пустая бутылка,,
metalStrips,items,Item,,Полоски Металла,,
nail,items,Item,,Гвозди,,
nail_Mold,items,Item,,Шаблон для гвоздей,,
oil,items,Item,,Масло,,
painkillers,items,Item,,Обезболивающие,,
paper,items,Item,,Бумага,,
pineSeed,items,Item,,Семена сосны,,
potassiumNitratePowder,items,Item,,Нитраткалия,,
potatoSeed,items,Item,,Семена картофеля,,
rabbit,items,Item,,Кролик,,
radiator,items,Item,,Радиатор,,
rottingFlesh,items,Item,,Гниющая плоть,,
scrapBrass,items,Item,,Лом латуни,,
scrapIron,items,Item,,Металлолом,,
scrapLead,items,Item,,Лом свинца,,
scrapTungsten,items,Item,,Лом вольфрама,,
shortMetalPipe,items,Item,,железная труба,,
stick,items,Item,,Палка,,
tallow,items,Item,,Жир,,
torch,items,Item,,Факел,,
trophy,items,Item,,Латуневый кубок,,
trophy2,items,Item,,Свинцовый кубок,,
trophy3,items,Item,,Вольфрамовый кубок,,
repairKit,items,Item,,Ремонтный комплект,,
woodenBow,items,Item,,Деревянный лук,,
wrench,items,Item,,Гаечный Ключ,,
yuccaFibers,items,Item,,Волокна Растений,,
bucketWater,items,Item ,,Ведро воды,,
handlebars,items,Item ,,Руль,,
minibikeSeat,items,Item ,,Сиденье байка,,
minibikeWheels,items,Item ,,Колеса байка,,
minibikeHandlebars,items,Item ,,Руль байка,,
minibikeChassis,items,Item ,,Колеса байка,,
shoppingBasketItem,items,Item ,,Корзина,,
padlock,items,Item ,,Замок,,
scrapCable,items,Item ,,Кабель,,
headlight,items,Item ,,Фара,,
glue,items,Item ,,Клей,,
ductTape,items,Item ,,Скотч,,
ironArrow,items,Item ,,Железная стрела,,
steelArrow,items,Item ,,Стальная стрела,,
flamingArrow,items,Item ,,Огненая стрела,,
ironArrowHead,items,Item ,, ЖелезныйArrowhead,,
ironArrowHeadMold,items,Item ,,Форма железной стрелы,,
shotgunSlug,items,Item ,,Пуля,,
IngotMoldSteel,items,Item ,,Форма стального слитка,,
ingotSteel,items,Item ,,Слиток стали,,
herbalAntibiotics,items,Item ,,Травяные Антибиотики,,
augerParts,items,Item ,,Запчасти бура,,
steelArrowHead,items,Item ,,Стальные стрелы,,
steelArrowHeadMold,items,Item ,,Форма стальной стрелы,,
bearMeat,items,Item ,,Мясо Медведя,,
bearStew,items,Item ,,Медведь,,
bearCharred,items,Item ,,Обгоревший Медведь ,,
bearGrilled,items,Item ,,Гриль из Медведя ,,
bearBoiled,items,Item ,,Вареный Медведь,,
augerSchematic,items,Item Book,,Схема бура,,
flamingArrowSchematic,items,Item Book,,Огненые стрелы схема,,
hammerSchematic,items,Item Book,,Молот схема,,
sawedoffPumpShotgunSchematic,items,Item Book,,Шаблон прицела дробовика схема,,
clubSpikedSchematic,items,Item Book,,Шипованная дубина схема,,
gasCanSchematic,items,Item Book,,Канистра с Топливом схема,,
shotgunSlugSchematic,items,Item Book,,Ружье схема,,
firstAidKitSchematic,items,Item Book,,Аптечка схема ,,
762mmBulletSchematic,items,Item Book,,762 пуля схема,,
10mmBulletSchematic,items,Item Book,,10мм пуля схема,,
9mmBulletSchematic,items,Item Book,,9мм пуля схема,,
handelbarsSchematic,items,Item Book,,Handelbars схема,,
herbalAntibioticsRecipe,items,Item Book,,ТравяныеАнтибиотики Рецепт,,
theRiddleOfSteel,items,Item Book,,Сталь Книга,,
ammunitionNationBook,items,Item Book,,Боеприпасы Книга,,
forgeAheadBook,items,Item Book,,Кузнечное дело (Об. Книга),,
homeMaintenanceBook,items,Item Book,,Ремонт, Том 1 (Обуч. Книга),,
homeMaintenanceBookVolumeII,items,Item Book,,Ремонт, Том 2 (Обуч. Книга),,
